"week","zoom","teams"
2018-02-04,2,1
2018-02-11,2,1
2018-02-18,2,1
2018-02-25,2,1
2018-03-04,2,1
2018-03-11,2,1
2018-03-18,2,1
2018-03-25,2,1
2018-04-01,2,1
2018-04-08,2,1
2018-04-15,2,1
2018-04-22,2,1
2018-04-29,2,1
2018-05-06,2,1
2018-05-13,2,1
2018-05-20,2,1
2018-05-27,2,1
2018-06-03,2,1
2018-06-10,2,1
2018-06-17,2,1
2018-06-24,2,1
2018-07-01,2,1
2018-07-08,2,1
2018-07-15,2,1
2018-07-22,2,1
2018-07-29,2,1
2018-08-05,2,1
2018-08-12,2,1
2018-08-19,2,1
2018-08-26,2,1
2018-09-02,2,1
2018-09-09,2,1
2018-09-16,2,1
2018-09-23,2,1
2018-09-30,2,1
2018-10-07,2,1
2018-10-14,2,1
2018-10-21,2,1
2018-10-28,2,1
2018-11-04,2,1
2018-11-11,2,1
2018-11-18,3,1
2018-11-25,2,1
2018-12-02,2,1
2018-12-09,2,1
2018-12-16,2,1
2018-12-23,1,1
2018-12-30,2,1
2019-01-06,2,1
2019-01-13,2,1
2019-01-20,2,1
2019-01-27,2,1
2019-02-03,2,1
2019-02-10,2,1
2019-02-17,3,1
2019-02-24,2,1
2019-03-03,2,1
2019-03-10,2,1
2019-03-17,2,1
2019-03-24,3,1
2019-03-31,2,1
2019-04-07,2,1
2019-04-14,3,1
2019-04-21,3,1
2019-04-28,2,1
2019-05-05,2,1
2019-05-12,2,1
2019-05-19,2,2
2019-05-26,2,1
2019-06-02,2,1
2019-06-09,2,2
2019-06-16,2,2
2019-06-23,2,1
2019-06-30,2,1
2019-07-07,3,2
2019-07-14,2,1
2019-07-21,2,1
2019-07-28,2,1
2019-08-04,2,2
2019-08-11,2,2
2019-08-18,2,2
2019-08-25,2,2
2019-09-01,2,2
2019-09-08,3,2
2019-09-15,3,2
2019-09-22,2,2
2019-09-29,2,2
2019-10-06,2,2
2019-10-13,2,2
2019-10-20,2,2
2019-10-27,2,2
2019-11-03,3,2
2019-11-10,3,2
2019-11-17,3,2
2019-11-24,4,2
2019-12-01,3,2
2019-12-08,2,2
2019-12-15,2,2
2019-12-22,2,1
2019-12-29,2,1
2020-01-05,2,2
2020-01-12,3,2
2020-01-19,3,2
2020-01-26,3,2
2020-02-02,3,3
2020-02-09,3,3
2020-02-16,3,3
2020-02-23,4,3
2020-03-01,4,3
